"difference_type","id","scene","flash_decision","pro_decision","pro_valid_output","pro_raw_output","pro_finish_reason","pro_completion_tokens","pro_reasoning_tokens","prompt","response"
"flash_A_pro_R","1762","question_answer","A","R","True","R","stop","473","471","你要不要看看你给他们穿了什么","马上就换马上就换她这个声音不太好学啊，她这个声音比较亮啊，我的太闷了，鼻音太重了。"
"flash_R_pro_A","1766","casual_chat","R","A","True","A","stop","474","472","每天一只板鸭病毒远离我","出新版本了？"
"flash_A_pro_R","1774","casual_chat","A","R","True","R","stop","370","368","一万多水晶没出","那看来是你自己的问题，我声音回来了吗？"
"flash_A_pro_R","2047","casual_chat","A","R","True","R","stop","1810","1808","上世纪舞台风","差不多可以这么理解，我就很喜欢这种风格的感觉，快乐崇拜也喜欢。现在的就只有四手作为一个专辑会不会有点少啊，我在想怎么再凑一首出来。"
"flash_A_pro_R","2145","question_answer","A","R","True","R","stop","832","830","之前不是很喜欢吃奶酪棒吗","突然有一天就腻了！爆珠糖分多吧好像，也算过冬吧。"
"flash_R_pro_A","2196","casual_chat","R","A","True","A","stop","1273","1271","那就做好约定，都不给了嘛。","江西那边是不行的，会觉得好没有人情味。为什么不回老家，也不是因为躲这些，主要是没什么亲戚，他们对聂总的事情我都还记得呢！！说起来有违规生娃的地方，他们就会生的越厉害，这样回去确实也是一笔高销呢。那种地方都好喜欢大家庭，会觉得到时候长大总有几个混的好一点的还能互相帮忙的。但是生太多也不是很好鸭，人太多大家都很不互相喜欢，都没爱，也不会爱自己的父母，人太多了会不能平均的得到爱最后也不会有回馈，外婆去世的时候反正那些亲戚他们都是在做不当人的事情。"
"flash_R_pro_A","2259","casual_chat","R","A","True","A","stop","233","231","套套呢？","有几个要的，但是都是顺带带上的，没有单独要的。"
"pro_invalid","2271","question_answer","A",,"False","","length","2048","2048","你知道月亮计划是什么","是什么？是什么？是我被选中要去月亮上开荒的新人类嘛？！这个弹幕是通知我这个意思嘛？！那你要在私信我呀！（知道是游戏了）切~"
"flash_A_pro_R","2287","comfort","A","R","True","R","stop","464","462","憨憨我失恋了可以安慰我嘛","恭xi。。！你是男生还是女生啊，我看你头像是二次元美女那就当你是女生吧。你相信会有属于你的@#￥%……&*（安慰的话）。这个就是宵宫啊，我听sugies天天说宵宫好可爱好可爱的，我还以为是她又找了个姓宵的帅哥呢，原来这个就是宵宫啊。"
"flash_A_pro_R","2353","casual_chat","A","R","True","R","stop","1612","1610","我们坐在一起都是直接聊天都没打本了","我们这边倒是打本就是打本，打完本再聊天的。北京什么时候转凉鸭，想去看北京长城！想去环球影城！"
